gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays
Male,Young,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Middle-Aged,Single,No Qualification,British,White,"Under 2,600",The North,True,12,12
Male,Middle-Aged,Married,Degree,English,White,"28,600 to 36,400",The North,False,0,0
Female,Middle-Aged,Married,Degree,English,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Married,GCSE/O Level,British,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"Above 36,400",The North,True,6,6
Male,Middle-Aged,Single,Degree,English,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,True,8,8
Female,Middle-Aged,Married,No Qualification,English,White,"5,200 to 10,400",The North,True,15,12
Male,Old,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Male,Young,Married,Degree,English,White,"Above 36,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Male,Young,Single,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Male,Middle-Aged,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Single,Other/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Male,Middle-Aged,Married,No Qualification,English,White,"20,800 to 28,600",The North,False,0,0
Female,Young,Married,GCSE/CSE,British,White,"2,600 to 5,200",The North,True,6,12
Female,Young,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,True,5,2
Female,Middle-Aged,Married,No Qualification,English,White,"2,600 to 5,200",The North,True,20,20
Female,Young,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Middle-Aged,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,True,25,20
Female,Old,Married,No Qualification,British,White,"Under 2,600",The North,False,0,0
Male,Old,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Married,GCSE/CSE,English,White,"Under 2,600",The North,True,15,15
Male,Young,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Separated,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,A Levels,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"Under 2,600",The North,True,20,20
Female,Middle-Aged,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,False,0,0
Male,Old,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,False,0,0
Male,Old,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,False,0,0
Female,Old,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,Degree,British,White,"Under 2,600",The North,False,0,0
Female,Young,Single,Degree,British,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Divorced,A Levels,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,True,6,6
Female,Middle-Aged,Married,A Levels,British,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,True,25,25
Female,Middle-Aged,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,True,4,4
Female,Middle-Aged,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,Degree,Scottish,White,"Above 36,400",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,True,20,20
Male,Middle-Aged,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,False,0,0
Female,Middle-Aged,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,False,0,0
Male,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Married,No Qualification,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,No Qualification,British,White,"2,600 to 5,200",The North,True,20,10
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,True,20,10
Male,Middle-Aged,Married,GCSE/O Level,English,White,"Above 36,400",The North,False,0,0
Female,Young,Single,A Levels,British,White,"15,600 to 20,800",The North,False,0,0
Female,Middle-Aged,Married,A Levels,English,White,"20,800 to 28,600",The North,True,5,0
Female,Middle-Aged,Married,Degree,Scottish,White,"10,400 to 15,600",The North,False,0,0
Male,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,True,20,20
Male,Middle-Aged,Married,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Male,Old,Married,No Qualification,English,Black,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,True,30,30
Male,Middle-Aged,Married,A Levels,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,True,20,20
Male,Middle-Aged,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,True,20,20
Female,Young,Separated,A Levels,British,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,True,10,3
Male,Middle-Aged,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Female,Old,Married,No Qualification,British,White,"Under 2,600",The North,False,0,0
Female,Young,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,True,20,20
Female,Young,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,True,10,0
Female,Young,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Old,Married,A Levels,British,White,"2,600 to 5,200",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"Above 36,400",The North,False,0,0
Female,Young,Married,Degree,English,White,"Under 2,600",The North,False,0,0
Male,Old,Married,No Qualification,English,White,"10,400 to 15,600",The North,False,0,0
Female,Middle-Aged,Married,No Qualification,British,White,"Under 2,600",The North,False,0,0
Male,Middle-Aged,Separated,GCSE/CSE,English,White,"28,600 to 36,400",The North,False,0,0
Male,Old,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,A Levels,British,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Married,Degree,British,White,"28,600 to 36,400",The North,False,0,0
Female,Middle-Aged,Married,GCSE/O Level,British,White,"20,800 to 28,600",The North,True,15,15
Female,Old,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Middle-Aged,Married,GCSE/O Level,Other,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Married,Higher/Sub Degree,British,White,"2,600 to 5,200",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"Under 2,600",The North,False,0,0
Female,Middle-Aged,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Married,Degree,English,White,"Above 36,400",The North,False,0,0
Male,Old,Married,Degree,English,White,"10,400 to 15,600",The North,False,0,0
Male,Middle-Aged,Separated,No Qualification,Welsh,White,"5,200 to 10,400",The North,True,10,10
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,False,0,0
Male,Old,Married,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Male,Middle-Aged,Married,No Qualification,English,White,"20,800 to 28,600",The North,False,0,0
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Middle-Aged,Married,Degree,English,White,"20,800 to 28,600",The North,False,0,0
Female,Old,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,True,25,25
Male,Old,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,True,40,40
Female,Old,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,True,12,12
Female,Middle-Aged,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,False,0,0
Female,Old,Widowed,Degree,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Female,Young,Separated,GCSE/O Level,English,White,"5,200 to 10,400",The North,True,20,20
Female,Middle-Aged,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,False,0,0
Female,Young,Single,ONC/BTEC,English,White,"5,200 to 10,400",The North,True,15,15
Male,Middle-Aged,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,False,0,0
Male,Old,Widowed,No Qualification,Irish,White,"5,200 to 10,400",The North,True,25,25
Female,Young,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,True,30,30
Female,Old,Married,No Qualification,English,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Married,Higher/Sub Degree,Other,White,"10,400 to 15,600",The North,False,0,0
Female,Middle-Aged,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,True,20,12
Male,Young,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,True,8,8
Female,Young,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,True,15,15
Male,Middle-Aged,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,True,15,15
Male,Middle-Aged,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,False,0,0
Female,Young,Single,Degree,Scottish,White,"10,400 to 15,600",The North,False,0,0
Female,Old,Married,No Qualification,English,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,GCSE/O Level,British,White,"Under 2,600",The North,False,0,0
Male,Young,Single,No Qualification,British,White,"2,600 to 5,200",The North,True,40,40
Male,Young,Married,No Qualification,English,White,"15,600 to 20,800",The North,False,0,0
Female,Old,Married,No Qualification,British,White,"5,200 to 10,400",The North,False,0,0
Male,Young,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,False,0,0
Female,Young,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,False,0,0
Male,Young,Separated,GCSE/O Level,British,White,"10,400 to 15,600",The North,True,20,20
Female,Young,Married,GCSE/CSE,English,White,"Under 2,600",The North,True,15,15
